OBJECTID,NAME,COUNTY,OSP,TWNCODE,LAND,SHAPE_Length,SHAPE_Area
368,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000439783729744248,1.27181358725672e-08
369,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000614516818562028,1.79952547039429e-08
370,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00239584384261966,2.75612340197338e-07
371,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00175009819909671,1.62057588915156e-07
372,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000379737371127174,1.04987756896063e-08
373,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000601364955387611,2.59390945914683e-08
374,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00638351717612591,2.32787573070064e-06
375,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000695700522930955,3.19174348993555e-08
376,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000525134755015462,1.8559294479917e-08
377,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000943245747598416,6.29036971974361e-08
378,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00974127214841498,1.06367666946901e-06
379,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00323480814000845,6.41321059846057e-07
380,WESTERLY,WASHINGTON,36,WY,Y,0.00138039551922437,1.11139900728126e-07
381,CHARLESTOWN,WASHINGTON,5,CH,Y,0.0507065367528201,2.66473837766594e-05
382,WESTERLY,WASHINGTON,36,WY,Y,0.00145220287389262,9.50840892369199e-08
383,WESTERLY,WASHINGTON,36,WY,Y,0.00213807213405215,2.9990309108825e-07
384,WESTERLY,WASHINGTON,36,WY,Y,0.00165135501200593,1.57936457555033e-07
385,WESTERLY,WASHINGTON,36,WY,Y,0.00230309084856077,3.05120934349484e-07
386,WESTERLY,WASHINGTON,36,WY,Y,0.0201713690095363,6.19863279879765e-06
387,WESTERLY,WASHINGTON,36,WY,Y,0.00503911018936983,6.02662129135625e-07
388,WESTERLY,WASHINGTON,36,WY,Y,0.000678124154096514,2.84250450894626e-08
389,WESTERLY,WASHINGTON,36,WY,Y,0.0388129307014,1.33922070097158e-05
390,WESTERLY,WASHINGTON,36,WY,Y,0.000673616892812256,2.2709839762878e-08
391,WESTERLY,WASHINGTON,36,WY,Y,0.000720528329761362,3.00867067082344e-08
392,NEW SHOREHAM,WASHINGTON,22,BI,Y,0.472858063123668,0.00265381911345158
393,NEW SHOREHAM,WASHINGTON,22,BI,Y,0.00253740986476145,3.07417538990944e-07
394,PROVIDENCE,PROVIDENCE,28,PR,Y,0.00112525508809185,6.83386132617372e-08
395,PROVIDENCE,PROVIDENCE,28,PR,Y,0.000257301485569261,4.75041011353792e-09
396,PROVIDENCE,PROVIDENCE,28,PR,Y,0.00227726977608094,3.38317885338048e-07
