Species,Long,Lat
Manatee,-80.051157,26.749905
Manatee,-80.050847,26.751555
Manatee,-80.050357,26.762505
Manatee,-80.050287,26.763515
Manatee,-80.049397,26.763945
Manatee,-80.050517,26.763945
Manatee,-80.049827,26.763115
Manatee,-80.050167,26.763515
Manatee,-80.050507,26.763945
Manatee,-80.034678,26.770975
Manatee,-80.043767,26.769915
Manatee,-80.047367,26.769915
Manatee,-80.050027,26.775315
Manatee,-80.048057,26.714025
Manatee,-80.047707,26.729175
Manatee,-80.047227,26.732235
Manatee,-80.048057,26.741675
Manatee,-80.049737,26.746615
Manatee,-80.030208,26.785015
Manatee,-80.048757,26.790635
Manatee,-80.050147,26.801745
Manatee,-80.061957,26.832805
Manatee,-80.066177,26.838985
Manatee,-80.040617,26.843975
Manatee,-80.043967,26.862215
Manatee,-80.042767,26.862535
Manatee,-80.334286,25.34609
Manatee,-80.044527,26.866955
Manatee,-80.065427,26.933385
Manatee,-80.097697,26.946535
Manatee,-80.138897,26.936615
Manatee,-80.140707,26.935545
Manatee,-80.079057,26.954245
Manatee,-80.081417,26.958805
Manatee,-80.076727,26.962145
Manatee,-80.106077,27.025315
Manatee,-80.116927,27.047155
Manatee,-80.128047,27.076695
Manatee,-80.207867,27.225715
Manatee,-80.208477,27.229035
Manatee,-80.237257,27.285195
Manatee,-80.250767,27.312875
Manatee,-80.261707,27.325045
Manatee,-80.308297,27.430645
Manatee,-80.322357,27.450305
Manatee,-80.322857,27.451555
Manatee,-80.317857,27.454945
Manatee,-80.322087,27.452735
Manatee,-80.046227,26.777945
Manatee,-80.322547,27.454395
Manatee,-80.348087,27.534635
Manatee,-80.378807,27.634285
Manatee,-80.523837,27.834155
Manatee,-80.535587,27.831395
Manatee,-80.536487,27.831215
Manatee,-80.538167,27.830915
Manatee,-80.754017,28.468175
Manatee,-80.754907,28.469315
Manatee,-80.757297,28.469225
Manatee,-80.758797,28.469455
Manatee,-80.760027,28.469365
Manatee,-80.757477,28.470135
Manatee,-80.758157,28.470135
Manatee,-80.759617,28.470415
Manatee,-80.758757,28.470775
Manatee,-80.759487,28.471555
Manatee,-80.760397,28.470865
Manatee,-80.761127,28.470545
Manatee,-80.763817,28.471455
Manatee,-80.760777,28.474465
Manatee,-80.770757,28.494055
Manatee,-81.458507,30.685274
Manatee,-81.326947,25.783385
Manatee,-81.362897,25.806755
Manatee,-81.251717,25.745135
Manatee,-81.286507,25.761665
Manatee,-81.180277,25.658595
Manatee,-80.849547,25.248656
Manatee,-80.855917,25.258906
Manatee,-80.869767,25.275886
Manatee,-80.914447,25.279736
Manatee,-81.111347,25.348895
Manatee,-81.118197,25.365295
Manatee,-81.119017,25.372285
Manatee,-81.120747,25.377855
Manatee,-81.120747,25.377855
Manatee,-81.165157,25.483975
Manatee,-81.003697,25.297656
Manatee,-80.973007,25.308676
Manatee,-80.942737,25.303406
Manatee,-80.911647,25.193136
Manatee,-80.918557,25.195096
Manatee,-80.870827,25.264226
Manatee,-80.910887,25.256446
Manatee,-80.921857,25.247776
Manatee,-80.929237,25.279656
Manatee,-81.016847,25.228976
Manatee,-81.509477,25.953715
Manatee,-81.324087,25.899455
Manatee,-81.325357,25.900095
Manatee,-81.338857,25.902135
Manatee,-81.477057,25.890765
Manatee,-81.477587,25.891785
Manatee,-81.476917,25.900635
Manatee,-81.509527,25.958265
Manatee,-81.507317,25.957425
Manatee,-81.508907,25.957305
Manatee,-81.510337,25.957235
Manatee,-81.510467,25.955965
Manatee,-81.509457,25.956445
Manatee,-81.508997,25.955355
Manatee,-81.507537,25.955325
Manatee,-81.015497,25.417915
Manatee,-81.015597,25.417915
Manatee,-80.999007,25.422415
Manatee,-81.074257,25.557105
Manatee,-81.140537,25.571745
Manatee,-81.159337,25.558295
Manatee,-81.205037,25.525575
Manatee,-80.902907,25.329535
Manatee,-80.948747,25.301506
Manatee,-80.933967,25.332455
Manatee,-80.953217,25.350315
Manatee,-80.967537,25.344695
Manatee,-80.972077,25.341235
Manatee,-80.991477,25.344855
Manatee,-81.042877,25.241866
Manatee,-81.047187,25.237986
Manatee,-81.008147,25.262256
Manatee,-81.086127,25.278416
Manatee,-81.323107,25.899925
Manatee,-81.323277,25.899505
Manatee,-81.325677,25.899455
Manatee,-81.325847,25.898075
Manatee,-81.338477,25.902085
Manatee,-81.348137,25.905155
Manatee,-81.477007,25.904115
Manatee,-80.050147,26.764765
Manatee,-80.043787,26.769625
Manatee,-80.046987,26.769365
Manatee,-80.042147,26.771615
Manatee,-80.049577,26.772645
Manatee,-80.042317,26.780155
Manatee,-80.044397,26.782405
Manatee,-80.045687,26.777825
Manatee,-80.050267,26.777565
Manatee,-80.048967,26.779295
Manatee,-80.049657,26.780585
Manatee,-80.047327,26.781885
Manatee,-80.041027,26.799065
Manatee,-80.046117,26.823405
Manatee,-80.047237,26.826945
Manatee,-80.080737,26.965445
Manatee,-80.085177,26.973095
Manatee,-80.096057,27.005005
Manatee,-80.095967,27.006235
Manatee,-80.101337,27.011875
Manatee,-80.102817,27.018195
Manatee,-80.105417,27.027025
Manatee,-80.106417,27.025735
Manatee,-80.122677,27.063965
Manatee,-80.123567,27.066565
Manatee,-80.322677,27.451625
Manatee,-80.348907,27.534655
Manatee,-80.378847,27.634285
Manatee,-80.756047,28.470735
Manatee,-80.758117,28.471655
Manatee,-80.763187,28.470195
Manatee,-80.762247,28.472625
Manatee,-80.600277,28.082005
Manatee,-81.339337,28.945125
Manatee,-81.539997,30.736934
Manatee,-81.457777,30.686994
Manatee,-81.625117,30.367444
Manatee,-81.522797,31.164524
Manatee,-80.991377,25.478015
Manatee,-81.003977,25.487255
Manatee,-81.037527,25.503775
Manatee,-81.043657,25.500985
Manatee,-81.068827,25.499675
Manatee,-81.082527,25.501905
Manatee,-81.047357,25.530505
Manatee,-82.592477,28.889865
Manatee,-82.592487,28.890695
Manatee,-82.592527,28.891335
Manatee,-82.594867,28.891065
Manatee,-82.597527,28.889245
Manatee,-82.597417,28.889835
Manatee,-82.598507,28.891215
Manatee,-82.598017,28.892055
Manatee,-82.591527,28.894105
Manatee,-82.590467,28.895095
Manatee,-82.596037,28.895195
Manatee,-82.598087,28.894615
Manatee,-82.597557,28.897485
Manatee,-82.603427,28.893995
Manatee,-82.604967,28.893225
Manatee,-80.377787,25.172296
Manatee,-80.408327,25.136026
Manatee,-81.143267,25.479015
Manatee,-81.149827,25.492935
Manatee,-81.008817,25.409885
Manatee,-80.906497,25.441615
Manatee,-81.124387,25.432385
Manatee,-81.169747,25.453815
Manatee,-81.168777,25.466935
Manatee,-81.090177,25.277526
Manatee,-81.087357,25.276356
Manatee,-81.084787,25.278936
Manatee,-81.081187,25.279866
Manatee,-81.041107,25.373385
Manatee,-81.097427,25.334786
Manatee,-81.105407,25.343666
Manatee,-81.147627,25.372615
Manatee,-81.509407,25.951795
Manatee,-81.509367,25.951025
Manatee,-81.509467,25.949795
Manatee,-81.508517,25.949415
Manatee,-81.507897,25.949085
Manatee,-81.507307,25.949155
Manatee,-81.509497,25.948055
Manatee,-81.509477,25.944825
Manatee,-81.508997,25.914605
Manatee,-81.518357,25.900335
Manatee,-81.703167,25.933135
Manatee,-81.718827,25.934425
Manatee,-81.717327,25.935285
Manatee,-81.719577,25.932885
Manatee,-81.726007,25.935675
Manatee,-81.720967,25.945065
Manatee,-81.637577,25.899025
Manatee,-81.693587,25.937795
Manatee,-81.719057,25.959025
Manatee,-81.817767,26.336395
Manatee,-81.803957,26.339325
Manatee,-81.871437,26.427025
Manatee,-81.852777,26.489395
Manatee,-81.872177,26.464205
Manatee,-81.392937,25.852205
Manatee,-81.298537,25.664425
Manatee,-81.291647,25.677645
Manatee,-81.263087,25.772735
Manatee,-81.281287,25.765115
Manatee,-81.177237,25.657575
Manatee,-81.171847,25.678085
Manatee,-81.204087,25.698745
Manatee,-81.029887,25.562145
Manatee,-81.043547,25.565305
Manatee,-81.074367,25.569515
Manatee,-81.141537,25.559685
Manatee,-81.771867,26.690805
Manatee,-81.773347,26.690975
Manatee,-81.773257,26.691375
Manatee,-81.774157,26.691495
Manatee,-81.775257,26.691315
Manatee,-81.775707,26.691515
Manatee,-81.776187,26.692005
Manatee,-81.777667,26.691905
Manatee,-81.778727,26.691035
Manatee,-81.780777,26.689655
Manatee,-81.781387,26.689945
Manatee,-81.782577,26.689045
Manatee,-81.783177,26.687545
Manatee,-81.783667,26.688145
Manatee,-81.784497,26.687475
Manatee,-81.786527,26.688215
Manatee,-81.789477,26.686695
Manatee,-81.792497,26.689255
Manatee,-81.796587,26.689955
Manatee,-81.796257,26.689205
Manatee,-81.795137,26.690335
Manatee,-80.959747,25.299536
Manatee,-80.960577,25.301956
Manatee,-80.956557,25.303166
Manatee,-80.955357,25.319766
Manatee,-80.957157,25.322136
Manatee,-80.983077,25.335906
Manatee,-81.508887,25.914205
Manatee,-81.515177,25.901045
Manatee,-81.593517,25.987865
Manatee,-81.723667,25.915055
Manatee,-81.699557,25.941235
Manatee,-81.704107,25.942335
Manatee,-81.707127,25.946075
Manatee,-81.787527,26.687915
Manatee,-81.795187,26.690345
Manatee,-81.795667,26.689115
Manatee,-81.795957,26.689545
Manatee,-81.796007,26.690025
Manatee,-81.797347,26.691145
Manatee,-81.797217,26.692345
Manatee,-81.796057,26.693485
Manatee,-81.797647,26.695005
Manatee,-81.797237,26.696465
Manatee,-81.781337,26.704285
Manatee,-81.757167,26.715495
Manatee,-81.803277,26.695955
Manatee,-81.803147,26.691385
Manatee,-81.826497,26.679035
Manatee,-81.849107,26.670015
Manatee,-82.052637,26.644685
Manatee,-81.888177,26.625955
Manatee,-81.929847,26.541255
Manatee,-81.993067,26.519965
Manatee,-81.988917,26.551605
Manatee,-82.144537,26.710905
Manatee,-82.049107,26.638455
Manatee,-82.044617,26.639405
Manatee,-82.042787,26.639585
Manatee,-82.045447,26.639605
Manatee,-82.047987,26.640085
Manatee,-82.049197,26.640125
Manatee,-82.048057,26.641845
Manatee,-82.049247,26.642695
Manatee,-82.051157,26.642705
Manatee,-82.052657,26.642325
Manatee,-82.054977,26.643555
Manatee,-82.054947,26.642335
Manatee,-82.054987,26.641745
Manatee,-82.052717,26.521975
Manatee,-82.036077,26.525165
Manatee,-82.029247,26.524855
Manatee,-82.377507,26.993625
Manatee,-82.282367,27.039995
Manatee,-82.281397,27.037275
Manatee,-82.277187,27.033355
Manatee,-82.269277,27.027075
Manatee,-82.264017,27.015655
Manatee,-82.268567,27.010925
Manatee,-82.123307,26.996655
Manatee,-82.056477,26.763745
Manatee,-81.996467,26.518435
Manatee,-81.976827,26.564855
Manatee,-82.410657,27.793635
Manatee,-82.411127,27.792765
Manatee,-82.411927,27.792945
Manatee,-82.412687,27.793065
Manatee,-82.413237,27.793485
Manatee,-82.417517,27.793305
Manatee,-82.422417,27.905425
Manatee,-82.602077,27.864705
Manatee,-82.602207,27.867885
Manatee,-82.601657,27.870765
Manatee,-82.603127,27.871455
Manatee,-82.980787,29.489225
Manatee,-82.718657,28.959885
Manatee,-82.669447,28.771815
Manatee,-82.602817,28.797055
Manatee,-82.606997,28.795825
Manatee,-82.608157,28.794355
Manatee,-82.612247,28.789405
Manatee,-82.617897,28.785465
Manatee,-82.628717,28.783455
Manatee,-82.590317,28.798665
Manatee,-82.591167,28.798765
Manatee,-82.592037,28.799425
Manatee,-82.592907,28.800245
Manatee,-82.593547,28.800245
Manatee,-82.597667,28.799405
Manatee,-82.599417,28.799055
Manatee,-82.589137,28.887765
Manatee,-82.597387,28.878975
Manatee,-82.598177,28.879935
Manatee,-82.593847,28.881785
Manatee,-82.595007,28.881555
Manatee,-82.595647,28.879995
Manatee,-82.595677,28.880775
Manatee,-82.595707,28.881555
Manatee,-82.596727,28.880685
Manatee,-82.597447,28.881525
Manatee,-82.598727,28.884865
Manatee,-82.596957,28.885645
Manatee,-82.592577,28.890635
Manatee,-82.592517,28.889735
Manatee,-81.977367,26.566015
Manatee,-81.983487,26.566715
Manatee,-81.984647,26.551305
Manatee,-81.988367,26.551305
Manatee,-81.985817,26.548435
Manatee,-81.995267,26.545335
Manatee,-81.923527,26.596235
Manatee,-81.931277,26.600105
Manatee,-81.930657,26.592595
Manatee,-81.930037,26.585385
Manatee,-81.910127,26.569735
